Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
4191,0,2,0.94124,0.00000234,-0.00000234,0,0.02,,,24.354311,-45.677887,123.92,0.37,-0.37,123.92,0.37,-0.37,9.303,9.166,6400,,,1.22,,,1.23,,,,,,,,,,3314.82,,,,,,3314.82,,,,,,,,,,0.0964,,,0,162,35,1.62362073,279.710041,-69.321365,358.179671,-50.443544,8.07,0.02,-0.02,8.07,0.02,-0.02,25.2,0,20.6,0,32.6,0,25.2,0,20.6,0,32.6,0,3.2,0,,3.6,,,,,,,,,,,,,11,1.5,,9.303,0.018,9.763,0.023,,8.409,0.018,8.231,0.055,8.131,0.027,8.075,0.023,8.123,0.021,8.079,0.022,7.753,0.196,,15,,,0.45,0.05,0.178,0.058,0.1,0.061,0.278,0.032,,,,,,,7
4192,0,2,2.1558,0.0064,-0.0064,0,0.035,,,24.354311,-45.677887,123.92,0.37,-0.37,123.92,0.37,-0.37,9.303,9.166,6400,,,1.22,,,1.23,,,,,,,,,,55.2,12.3,-12.3,,,,55.2,12.3,-12.3,,,,,,,,,,,0,65,30,1.62362073,279.710041,-69.321365,358.179671,-50.443544,8.07,0.02,-0.02,8.07,0.02,-0.02,25.2,0,20.6,0,32.6,0,25.2,0,20.6,0,32.6,0,3.2,0,,3.6,,,,,,,,,,,,,11,1.5,,9.303,0.018,9.763,0.023,,8.409,0.018,8.231,0.055,8.131,0.027,8.075,0.023,8.123,0.021,8.079,0.022,7.753,0.196,,15,,,0.45,0.05,0.178,0.058,0.1,0.061,0.278,0.032,,,,,,,7
4193,0,1,3.409264,0.000001,-0.000001,0,0.048,0.001,-0.001,123.392292,-1.98275,255.8,3.38,-3.38,255.8,3.38,-3.38,10.682,10.913,6600,200,-200,1.3,0.1,-0.1,1.19,0.06,-0.06,,100,10,-10,,,,286.047,31.783,-31.783,,,,286.047,31.783,-31.783,13.899,0.448,-0.448,0.127,0.004,-0.004,1.23,,,,0,23,8,8.22615278,224.444712,17.229241,126.190124,-21.324994,3.91,0.05,-0.05,3.91,0.05,-0.05,-14.052,0.091,-3.169,0.055,14.405,0.089,-14.052,0.091,-3.169,0.055,14.405,0.089,28.9,0.1,-0.1,3.7,4.42,0.01,-0.01,,,,0.1,0.2,-0.2,1.2,1,-1,19.9,0.6,-0.6,10.682,0.3,11.221,0.3,,10.114,0.051,9.855,0.065,9.812,0.052,9.768,0.032,9.799,0.029,9.725,0.055,8.304,0.43,,14,,,,,0.259,0.083,0.043,0.083,0.302,0.073,,,,,,,3
4194,0,1,4.5195064,0.0000034,-0.0000034,0,0.05427,0.00069,-0.00069,26.793208,3.133056,443,8,-8,443.01,7.96,-7.96,12.91,12.783,5839,70,-70,1.04,0.04,-0.04,0.96,0.04,-0.04,,35.7,3.9,-3.9,,,,95.03117,10.80622,-10.80622,,,,95.03117,10.80622,-10.80622,13.271,0.796,-0.661,0.122,0.007,-0.006,1.59,,,,0,23,6,1.78621389,149.043527,-56.886192,25.998897,-7.405674,,,,2.26,0.04,-0.04,-5.343,0.084,-21.97,0.065,22.611,0.067,-5.343,0.084,-21.97,0.065,22.611,0.067,-8.55,0.01,-0.01,4.2,4.49,0.04,-0.04,,,,0.09,0.04,-0.04,2.5,1.7,-1.7,3.3,0.9,-0.9,12.91,,,,,11.639,0.019,11.268,0.022,11.207,0.019,11.153,0.025,11.185,0.023,11.309,0.144,9.167,,,9,,,,,0.371,0.029,0.061,0.029,0.432,0.027,,,,,,,3
4195,0,1,3.3769848,0.0000024,-0.0000024,0,0.0451,0.0009,-0.0009,311.67325,-41.820889,330.64,4.58,-4.58,330.64,4.58,-4.58,,11.917,5638,100,-100,1.08,0.06,-0.06,1.34,0.03,-0.03,,19,1.2,-1.2,,,,47.03884,3.49613,-3.49613,,,,47.03884,3.49613,-3.49613,9.528,0.336,-0.336,0.087,0.003,-0.003,0.426,,,,0,24,7,20.77821667,359.585854,-38.587765,302.560512,-22.976774,3.02,0.04,-0.04,3.02,0.04,-0.04,30.957,0.061,-21.65,0.044,37.776,0.056,30.957,0.061,-21.65,0.044,37.776,0.056,-34.13,0,0,4.5,4.22,0.03,-0.03,,,,0.27,0.11,-0.11,5.952,2.684,-2.684,1.4,1,-1,,,,,,10.831,0.021,10.519,0.024,10.431,0.017,10.409,0.023,10.463,0.02,10.434,0.075,8.425,,,8,,,,,0.312,0.032,0.088,0.029,0.4,0.027,,,,,,,3
4196,0,1,4.1117771,0.0000051,-0.0000051,0,0.04632,0.00075,-0.00075,163.789,-0.737139,328,4,-4,328.42,3.98,-3.98,12.76,12.815,5313,72,-72,0.78,0.04,-0.04,0.87,0.04,-0.04,,74.8,6.6,-6.6,,,,159.55066,14.93801,-14.93801,,,,159.55066,14.93801,-14.93801,16.477,10.536,-3.699,0.151,0.097,-0.034,2.26,,,,0,23,6,10.91926667,253.089713,50.528363,165.349902,-7.056265,,,,3.04,0.04,-0.04,-28.12,0.067,24.033,0.052,36.991,0.061,-28.12,0.067,24.033,0.052,36.991,0.061,68.71,0.01,-0.01,4.9,4.45,0.04,-0.04,,,,-0.31,0.04,-0.04,14.9,1.7,-1.7,1,1,-1,12.76,,,,,11.859,0.02,11.599,0.019,11.561,0.018,11.481,0.024,11.504,0.021,11.252,0.142,8.701,,,9,,,,,0.26,0.028,0.038,0.026,0.298,0.027,,,,,,,3
4197,0,1,5.1817,0.00001,-0.00001,0,0.0627,0.0012,-0.0012,209.517042,-30.348139,640,28,-28,675.67,17.04,-17.04,,12.567,6000,100,-100,1.23,0.07,-0.07,1.65,0.09,-0.09,,58,10,-10,,,,181.1631,31.783,-31.783,,,,181.1631,31.783,-31.783,14.908,1.009,-1.009,0.137,0.009,-0.009,0.69,,,,0,24,6,13.96780278,319.591377,30.359047,218.205323,-17.123792,,,,1.48,0.04,-0.04,-4.362,0.06,-5.087,0.057,6.701,0.059,-4.362,0.06,-5.087,0.057,6.701,0.059,8.37,0.01,-0.01,4,4.09,0.05,-0.05,,,,0.12,0.08,-0.08,4.7,1.1,-1.1,4.5,1.1,-1.1,,,,,,11.59,0.021,11.319,0.025,11.262,0.023,11.224,0.024,11.212,0.022,11.311,0.123,8.62,,,8,,,,,0.271,0.033,0.057,0.034,0.328,0.031,,,,,,,3
4198,0,1,9.38755,0.00002,-0.00002,0,0.0904,0.0017,-0.0017,214.059625,-19.542278,275,6,-6,281.56,3.43,-3.43,,10.895,5900,100,-100,1.12,0.06,-0.06,1.5,0.08,-0.08,,88,4,-4,,,,311.4734,19.0698,-19.0698,,,,311.4734,19.0698,-19.0698,14.011,0.897,-0.897,0.128,0.008,-0.008,0.73,,,,0,25,7,14.27064167,328.944686,39.008154,218.332226,-5.563897,,,,3.55,0.04,-0.04,-13.403,0.084,-6.06,0.067,14.709,0.081,-13.403,0.084,-6.06,0.067,14.709,0.081,23.87,0,0,4,4.13,0.05,-0.05,,,,-0.02,0.06,-0.06,6.6,1.6,-1.6,2.8,0.9,-0.9,,,,,,9.873,0.025,9.601,0.024,9.505,0.017,9.473,0.022,9.514,0.02,9.468,0.041,9,,,8,,,,,0.272,0.035,0.096,0.029,0.368,0.03,,,,,,,3
4199,0,1,5.026799,0.000012,-0.000014,0,0.06,0.0012,-0.0013,18.995208,21.616917,280.71,13.05,-11.96,280.73,3.37,-3.37,,10.651,6361,105,-82,1.22,0.07,-0.08,1.47,0.02,-0.02,,530.29,8.43,-8.59,,,,1341.2426,57.2094,-57.2094,,,,1341.2426,57.2094,-57.2094,12.442,0.336,-0.336,0.114,0.003,-0.003,0.61,,,,0,22,9,1.26634722,130.485452,-40.894556,25.758859,12.570073,3.57,0.04,-0.04,3.56,0.04,-0.04,21.672,0.078,-9.221,0.068,23.552,0.077,21.672,0.078,-9.221,0.068,23.552,0.077,-5.94,0.79,-0.79,3,4.19,0.03,-0.03,,,,-0.08,0.14,-0.14,3.1,1,-0.08,15.6,0.9,-0.9,,,,,,9.781,0.018,9.613,0.02,9.532,0.016,9.525,0.022,9.562,0.02,9.5,0.034,8.686,,,8,,,,,0.168,0.027,0.081,0.026,0.249,0.024,,,,,,,3
4200,0,1,5.147878,0.000005,-0.000009,0,0.0653,0.0013,-0.0013,17.474833,25.681667,375.52,0.45,-0.45,375.35,6.25,-6.25,,10.132,6150,92,-85,1.54,0.09,-0.09,2.83,0.05,-0.05,,70,6.84,-7.75,,,,254.264,28.6047,-28.6047,,,,254.264,28.6047,-28.6047,18.383,0.56,-0.56,0.168,0.005,-0.005,0.35,,,,0,22,9,1.16498889,128.141872,-37.003207,26.075896,16.855689,2.66,0.05,-0.04,2.66,0.04,-0.04,-24.173,0.091,-10.702,0.074,26.436,0.088,-24.173,0.091,-10.702,0.074,26.436,0.088,-20,0.5,-0.5,3,3.72,0.03,-0.03,,,,0,0.11,-0.11,2.55,0.49,-0.25,15.3,1,-1,,,,,,9.117,0.021,8.906,0.023,8.79,0.018,8.771,0.023,8.791,0.02,8.733,0.025,9.071,0.446,,8,,,,,0.211,0.031,0.116,0.029,0.327,0.028,,,,,,,3
4201,0,1,0.78883899,0.00000004,-0.00000004,0,0.01634,0.00024,-0.00024,148.417002,-45.659191,270.41,1.72,-1.72,270.41,1.72,-1.72,12.59,12.109,5568,71,-71,0.9,0.04,-0.04,1,0.02,-0.02,,,,,,,,339.76027,12.07754,-11.75971,,,,339.76027,12.07754,-11.75971,15.603,0.448,-0.448,0.143,0.004,-0.004,,0.1409,0.0013,-0.0013,0,114,26,9.8944668,273.405553,6.775996,175.070177,-53.300902,3.7,0.02,-0.02,3.7,0.02,-0.02,-35.4,0,17.3,0,39.4,0,-35.4,0,17.3,0,39.4,0,20.79,0,0,4.8,4.45,0.05,-0.05,,,,0.15,0.07,-0.07,,,,4.63,0.26,-0.26,12.59,,,,,10.911,0.026,10.602,0.021,10.481,0.023,10.436,0.023,10.494,0.02,10.311,0.074,9.144,,,10,,,,,0.309,0.033,0.121,0.031,0.43,0.035,,,,,,,3
4202,0,1,5.367753,0.000004,-0.000004,0,0.0663,0.0008,-0.0008,7.709304,-40.573433,550.76,10.19,-10.19,550.76,10.19,-10.19,,11.633,6400,100,-100,1.35,0.05,-0.05,1.6,0.1,-0.1,,99,9,-9,,,,317.83,31.783,-31.783,,,,317.83,31.783,-31.783,12.89,1.009,-1.009,0.118,0.009,-0.009,0.62,,,,0,21,7,0.51395361,319.182962,-75.897959,347.618649,-39.589436,1.82,0.03,-0.03,1.82,0.03,-0.03,38.231,0.03,-9.135,0.039,39.307,0.031,38.231,0.03,-9.135,0.039,39.307,0.031,0.82,0.01,-0.01,3.6,4.17,0.04,-0.04,,,,-0.02,0.05,-0.05,,,,13.3,0.6,-0.6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0
4203,0,1,2.8786765,0.0000028,-0.0000028,0,0.0408,0.0008,-0.0008,223.658708,-38.744528,495,22,-22,515.65,16.43,-16.43,,12.535,5910,145,-145,1.09,0.06,-0.06,1.32,0.07,-0.07,,307,17,-17,,,,731.009,50.8528,-50.8528,,,,731.009,50.8528,-50.8528,13.787,0.897,-0.897,0.126,0.008,-0.008,0.926,,,,0,24,6,14.91058056,327.777459,18.11156,232.784122,-21.101718,,,,1.94,0.06,-0.06,0.723,0.072,-1.53,0.063,1.693,0.065,0.723,0.072,-1.53,0.063,1.693,0.065,15.9,0.01,-0.01,4,4.24,0.05,-0.05,,,,0.14,0.08,-0.08,5.7,1.9,-1.9,3.1,1.1,-1.1,,,,,,11.493,0.019,11.193,0.022,11.137,0.021,11.094,0.023,11.12,0.021,11.101,0.138,9.069,,,8,,,,,0.3,0.029,0.056,0.03,0.356,0.028,,,,,,,3
4204,0,1,2.152175,0.000012,-0.000011,0,0.03144,0.00088,-0.00087,307.725542,6.429536,153.89,1.62,-1.62,153.89,1.62,-1.62,11.88,11.564,5180,190,-190,0.9,0.08,-0.07,0.87,0.03,-0.03,,157,4.7,-4.6,0.927,0.06,-0.057,295.89973,19.0698,-18.43414,294.62841,19.0698,-18.11631,295.89973,19.0698,-18.43414,12.117,0.46,-0.448,0.111,0.004,-0.004,1.646,0.12831,0.00098,-0.001,0,194,22,20.51503613,50.773846,-18.712638,311.945703,24.543504,6.5,0.07,-0.07,6.5,0.07,-0.07,5.9,0.1,-48.3,0.1,48.6,0.1,5.9,0.1,-48.3,0.1,48.6,0.1,-27.87,0.01,-0.01,5.1,4.51,0.02,-0.02,-0.313,0.081,-0.086,0.12,0.21,-0.19,,,,0.9,0.5,-0.5,11.88,0.1,,,,10.166,0.027,9.752,0.026,9.632,0.024,9.582,0.022,9.637,0.021,9.546,0.038,8.727,0.428,,10,,,0.86,0.05,0.414,0.037,0.12,0.035,0.534,0.036,,,,,,,4
4205,0,1,4.8996284,0.0000033,-0.0000033,0,0.06,0.00069,-0.00069,5.160559,-23.935728,210,20,-20,,,,10.68,10.65,5940,100,-100,1.2,0.04,-0.04,1.39,0.04,-0.04,,32.8,1.7,-1.7,,,,98.841,5.403,-5.403,,,,98.841,5.403,-5.403,16.388,0.661,-0.661,0.15,0.006,-0.006,1.164,,,,0,49,11,0.34403727,55.915361,-82.356746,354.605818,-23.887057,,,,,,,2.5,2,-3.1,1.7,4,1.8,2.5,2,-3.1,1.7,4,1.8,1.32,0,0,3.9,4.23,0.02,-0.02,,,,-0.008,0.06,-0.06,7,2,-1,4.75,0.51,-0.51,10.68,,11.17,,,9.701,0.017,9.417,0.02,9.39,0.023,9.328,0.022,9.364,0.019,9.324,0.033,8.336,,,10,,,0.49,,0.284,0.026,0.027,0.03,0.311,0.029,,,,,,,4
4206,0,1,4.322482,0.000019,-0.000024,0,0.052,0.00041,-0.00044,347.492721,18.396086,260.33,2.9,-2.9,260.33,2.9,-2.9,11.58,11.399,5800,100,-100,0.89,0.08,-0.08,1.14,0.05,-0.05,,37.2,1.1,-1.1,,,,95.345,3.496,-3.496,,,,95.345,3.496,-3.496,11.99,0.56,-0.56,0.11,0.006,-0.006,1.082,,,,0,78,15,23.1661814,91.75418,-38.256405,356.109038,21.794873,3.84,0.04,-0.04,3.84,0.04,-0.04,17.6,0.1,18.9,0,25.8,0.1,17.6,0.1,18.9,0,25.8,0.1,-89.45,,,4.3,4.28,0.03,-0.03,,,,-0.46,0.11,-0.11,12,5,-5,1.5,0.6,-0.6,11.58,0.08,,,,10.35,0.023,10.085,0.022,9.982,0.017,9.933,0.022,9.963,0.021,9.902,0.053,8.392,,,9,,,,,0.265,0.032,0.103,0.028,0.368,0.029,,,,,,,3
4207,0,1,3.53269,0.00001,-0.00001,0,,,,52.818043,-23.819702,320.5,5.6,-5.6,320.5,5.6,-5.6,12,11.582,6000,100,-100,1.46,0.63,-0.63,1.24,0.13,-0.13,,70,1.7,-1.7,,,,212.9461,60.3877,-60.3877,,,,212.9461,60.3877,-60.3877,13.787,1.569,-1.569,0.126,0.014,-0.014,1,,,,0,95,15,3.52120287,216.796333,-53.92327,42.5818,-41.334705,3.12,0.05,-0.05,3.12,0.05,-0.05,1.8,0.1,-26.5,0.1,26.6,0.1,1.8,0.1,-26.5,0.1,26.6,0.1,-7.19,0,,4.1,4.5,0.2,-0.2,,,,-0.05,,,,,,4.42,0.34,,12,,,,,10.634,0.021,10.392,0.023,10.318,0.02,10.312,0.023,10.352,0.02,10.379,0.06,8.595,,,9,,,,,0.242,0.031,0.074,0.03,0.316,0.029,,,,,,,3
4208,0,1,2.9444256,0.0000011,-0.0000013,0,0.0376,0.0016,-0.0024,101.127587,-42.761826,208.74,1.03,-1.03,208.74,1.03,-1.03,,12.321,5150,100,,0.78,0.13,,0.77,0.05,,,,,,,,,280.95,27.968,-31.464,,,,280.95,27.968,-31.464,10.783,0.527,-0.628,0.099,0.005,-0.006,1.691,,,,0,38,10,6.74183913,251.926506,-19.228595,109.92623,-65.433193,4.79,0.02,-0.02,4.79,0.02,-0.02,-9,0,-87.8,0,88.2,0,-9,0,-87.8,0,88.2,0,5.83,0.88,-0.88,,,,,,,,,,,,,,2.2,0.3,,,,,,,10.96,0.023,10.514,0.021,10.45,0.023,10.414,0.023,10.472,0.02,10.386,0.055,9.084,,,8,,,,,0.446,0.031,0.064,0.031,0.51,0.033,,,,,,,3
4209,0,1,2.34121,0.000002,-0.000002,0,,,,227.215586,2.343304,325.05,4.48,-4.48,325.05,4.48,-4.48,11.306,11.394,6075,100,-100,1.43,0.5,-0.5,1.42,0.16,-0.16,,148.2,2.5,-2.5,,,,394.1092,92.1707,-92.1707,,,,394.1092,92.1707,-92.1707,15.468,1.793,-1.793,0.142,0.016,-0.016,1,,,,0,84,15,15.14770573,1.86255,48.829684,224.049715,19.220434,3.08,0.04,-0.04,3.08,0.04,-0.04,-16.7,0.1,-8.7,0.1,18.8,0.1,-16.7,0.1,-8.7,0.1,18.8,0.1,-17.9,0,,,4.26,0.17,-0.17,,,,0,,,,,,7,0.9,,11.306,0.108,,,,10.457,0.022,10.219,0.026,10.148,0.023,10.102,0.023,10.131,0.02,10.113,0.058,8.783,,,9,,,,,0.238,0.034,0.071,0.035,0.309,0.032,,,,,,,3
4210,0,1,3.76483,0.000005,-0.000005,0,,,,195.359879,-27.5222,212.7,1.46,-1.46,212.7,1.46,-1.46,11.88,11.688,5750,100,-100,0.67,0.22,-0.22,0.8,0.08,-0.08,,75.5,5.3,-5.3,,,,139.8452,31.783,-31.783,,,,139.8452,31.783,-31.783,11.994,1.121,-1.121,0.11,0.01,-0.01,1.9,,,,0,79,13,13.02399193,305.64896,35.296814,205.031104,-19.300436,4.7,0.03,-0.03,4.7,0.03,-0.03,-29.3,0.1,-6.3,0,29.9,0.1,-29.3,0.1,-6.3,0,29.9,0.1,-2.63,0,,,4.5,0.15,-0.15,,,,-0.05,,,,,,3,1,,11.88,,,,,10.596,0.027,10.268,0.023,10.174,0.021,10.133,0.024,10.168,0.02,10.029,0.046,8.851,,,9,,,,,0.328,0.035,0.094,0.031,0.422,0.034,,,,,,,3
4211,0,1,2.7566,0.00001,-0.00001,0,,,,4.602897,-15.267305,254.51,4.7,-4.7,254.51,4.7,-4.7,,10.994,6034,31,-31,0.86,0.34,-0.34,1.22,0.15,-0.15,,135.5,0,0,,,,270.1555,73.1009,-73.1009,,,,270.1555,73.1009,-73.1009,13.563,1.681,-1.681,0.124,0.015,-0.015,1,,,,0,72,15,0.3068598,88.352441,-75.871357,357.991955,-15.806448,3.93,0.07,-0.07,3.93,0.07,-0.07,27.4,0.2,-24.4,0.1,36.7,0.1,27.4,0.2,-24.4,0.1,36.7,0.1,8.46,0,,,4.44,0.06,-0.06,,,,0.16,,,,,,3.9,0.4,,,,,,,10.021,0.022,9.775,0.023,9.69,0.023,9.658,0.022,9.702,0.021,9.632,0.053,8.398,0.304,,8,,,,,0.246,0.032,0.085,0.033,0.331,0.032,,,,,,,3
4212,0,1,3.40883,0.000006,-0.000006,0,0.04469,0.00076,-0.00076,353.616152,-1.580064,410,70,-70,351.95,5.63,-5.63,12.03,12.029,6150,140,-140,1.02,0.05,-0.05,1.09,0.03,-0.03,,120.5,4.2,-4.2,,,,288.26,13.666,-13.666,,,,288.26,13.666,-13.666,13.597,0.471,-0.471,0.125,0.004,-0.004,1.3,,,,0,72,13,23.57441013,83.860077,-58.486355,353.513831,1.083703,,,,2.84,0.05,-0.05,21.5,0.8,9.1,1.1,23.3,0.9,22.3,0.1,10.8,0.1,24.8,0.1,24.22,0,0,3.8,4.37,0.02,-0.02,,,,-0.29,0.1,-0.1,5,3,-2,3.25,0.34,-0.34,12.03,,12.5,,,11.078,0.026,10.762,0.023,10.732,0.024,10.675,0.023,10.709,0.021,10.603,0.086,8.341,,,11,,,0.47,,0.316,0.035,0.03,0.033,0.346,0.035,,,,,,,5
4213,0,1,3.92273,0.000004,-0.000004,0,,,,357.879538,-39.906719,87.82,0.31,-0.31,87.82,0.31,-0.31,,10.893,4800,150,-150,0.77,0.25,-0.25,0.79,0.07,-0.07,,35.6,2.7,-2.7,,,,73.1009,15.8915,-15.8915,,,,73.1009,15.8915,-15.8915,8.631,0.785,-0.785,0.079,0.007,-0.007,1,,,,0,66,13,23.85863587,343.320549,-72.181665,339.853368,-35.261637,11.39,0.04,-0.04,11.39,0.04,-0.04,-56.9,0,-88.9,0,105.5,0,-56.9,0,-88.9,0,105.5,0,24.53,0,,,4.5,0.2,-0.2,,,,0.11,,,,,,1.5,0.6,,,,,,,9.353,0.021,8.875,0.019,8.783,0.02,8.706,0.023,8.79,0.02,8.708,0.024,8.927,0.442,,8,,,,,0.478,0.028,0.092,0.028,0.57,0.029,,,,,,,3
4214,0,1,1.84683,0.000002,-0.000002,0,,,,278.631793,35.661533,232.7,1.65,-1.65,232.7,1.65,-1.65,10.5,10.453,6400,100,-100,1.62,0.53,-0.53,1.44,0.12,-0.12,,290.5,9.5,-9.5,,,,772.3269,168.4499,-168.4499,,,,772.3269,168.4499,-168.4499,15.917,1.906,-1.906,0.146,0.017,-0.017,1.1,,,,0,130,22,18.57545287,64.175016,18.611215,283.572823,58.694799,4.3,0.03,-0.03,4.3,0.03,-0.03,-6.1,0,-21.7,0,22.6,0,-6.1,0,-21.7,0,22.6,0,-5.49,0.01,,,4.25,0.05,-0.05,,,,0,,,,,,13.4,1.5,,10.5,,,,,9.603,0.02,9.407,0.014,9.361,0.015,9.32,0.023,9.338,0.021,9.331,0.03,8.875,0.37,,10,,,,,0.196,0.024,0.046,0.021,0.242,0.025,,,,,,,3
4215,0,1,3.4059096,0.000005,-0.000005,0,0.04659,0.00035,-0.00035,169.439021,-19.054773,360,30,-30,388.02,6.42,-6.42,11.7,11.816,6302,102,,1.16,0.03,,1.25,0.03,,,,,,,,,151.916,9.217,-9.217,,,,151.916,9.217,-9.217,17.363,0.56,-0.56,0.159,0.005,-0.005,1.615,,,,0,51,14,11.29593473,274.22569,38.539307,178.207408,-21.619609,,,,2.58,0.04,-0.04,-28.7,0.1,1,0.1,28.7,0.1,-28.7,0.1,1,0.1,28.7,0.1,-0.34,2.07,-2.07,,,,,,,,,,,,,,7.9,0.6,,11.7,0.2,,,,10.912,0.022,10.709,0.022,10.65,0.027,10.618,0.023,10.639,0.021,10.536,0.085,8.867,,,10,,,,,0.203,0.031,0.059,0.035,0.262,0.035,,,,,,,3
4216,0,1,2.71866,0.000002,-0.000002,0,,,,3.961682,1.200451,278.17,3.33,-3.33,278.17,3.33,-3.33,11.3,11.409,6140,95,-95,0.72,0.34,-0.34,0.95,0.15,-0.15,,478,11,-11,,,,835.8929,260.6206,-260.6206,,,,835.8929,260.6206,-260.6206,10.761,1.681,-1.681,0.099,0.015,-0.015,1.1,,,,0,68,15,0.26411213,104.68506,-60.404268,4.112226,-0.472959,3.59,0.04,-0.04,3.59,0.04,-0.04,1.9,0.1,16.6,0.1,16.7,0.1,1.9,0.1,16.6,0.1,16.7,0.1,18.28,0,,,4.4,0.02,-0.02,,,,-0.13,,,,,,4.8,0.8,,11.3,,,,,10.503,0.022,10.248,0.028,10.161,0.023,10.144,0.023,10.185,0.019,10.125,0.065,8.976,,,9,,,,,0.255,0.036,0.087,0.036,0.342,0.032,,,,,,,3
